Order ID,Date,City,Product,Category,Quantity,Unit Price,Sales,Payment Method
ORD0043,2026-03-14,Faisalabad,Laundry Detergent,Household,2,720,1440,Online
ORD0088,2026-03-14,Lahore,Tea,Grocery,3,550,1650,Card
ORD0094,2026-03-14,Faisalabad,Toothpaste,Personal Care,6,300,1800,Online
ORD0162,2026-03-14,Lahore,Floor Cleaner,Household,5,450,2250,Cash
ORD0202,2026-03-14,Gujranwala,Cooking Oil,Grocery,1,620,620,Online
ORD0031,2026-03-15,Peshawar,Butter,Dairy,7,370,2590,Cash
ORD0146,2026-03-15,Gujranwala,Butter,Dairy,1,390,390,Online
ORD0200,2026-03-15,Faisalabad,Shampoo,Personal Care,5,620,3100,Cash
ORD0041,2026-03-16,Peshawar,Dishwashing Liquid,Household,1,300,300,Cash
ORD0044,2026-03-16,Rawalpindi,Orange Juice,Beverages,6,260,1560,Card
ORD0144,2026-03-16,Peshawar,Butter,Dairy,8,390,3120,Card
ORD0191,2026-03-16,Rawalpindi,Toothpaste,Personal Care,8,320,2560,Online
ORD0231,2026-03-16,Karachi,Mineral Water,Beverages,7,80,560,Online
ORD0102,2026-03-17,Multan,Orange Juice,Beverages,2,280,560,Card
ORD0125,2026-03-17,Faisalabad,Shampoo,Personal Care,4,670,2680,Cash
ORD0159,2026-03-17,Multan,Toothpaste,Personal Care,8,350,2800,Card
ORD0185,2026-03-17,Rawalpindi,Cooking Oil,Grocery,5,620,3100,Cash
ORD0208,2026-03-17,Peshawar,Tissue Box,Household,1,160,160,Card
ORD0019,2026-03-18,Peshawar,Tissue Box,Household,1,200,200,Online
ORD0123,2026-03-18,Peshawar,Cola,Beverages,4,180,720,Online
ORD0127,2026-03-18,Multan,Shampoo,Personal Care,8,670,5360,Card
ORD0209,2026-03-18,Lahore,Cooking Oil,Grocery,5,630,3150,Cash
ORD0007,2026-03-19,Multan,Tea,Grocery,2,520,1040,Cash
ORD0026,2026-03-19,Gujranwala,Yogurt,Dairy,5,160,800,Online
ORD0095,2026-03-19,Islamabad,Cheese,Dairy,2,480,960,Cash
ORD0163,2026-03-19,Rawalpindi,Yogurt,Dairy,5,180,900,Online
ORD0190,2026-03-19,Karachi,Cooking Oil,Grocery,5,650,3250,Online
ORD0241,2026-03-19,Karachi,Cola,Beverages,8,210,1680,Card
ORD0156,2026-03-20,Gujranwala,Dishwashing Liquid,Household,8,300,2400,Cash
ORD0093,2026-03-21,Karachi,Yogurt,Dairy,8,180,1440,Cash
ORD0205,2026-03-21,Lahore,Sugar,Grocery,8,200,1600,Card
ORD0215,2026-03-21,Peshawar,Cola,Beverages,7,210,1470,Cash
ORD0236,2026-03-21,Karachi,Floor Cleaner,Household,3,400,1200,Cash
ORD0250,2026-03-21,Peshawar,Basmati Rice,Grocery,8,450,3600,Online
ORD0097,2026-03-22,Faisalabad,Sugar,Grocery,2,210,420,Online
ORD0118,2026-03-22,Lahore,Yogurt,Dairy,5,130,650,Cash
ORD0121,2026-03-22,Faisalabad,Cola,Beverages,3,160,480,Cash
ORD0001,2026-03-23,Islamabad,Sugar,Grocery,4,160,640,Cash
ORD0053,2026-03-23,Multan,Butter,Dairy,7,390,2730,Cash
ORD0072,2026-03-23,Rawalpindi,Cooking Oil,Grocery,5,630,3150,Cash
ORD0099,2026-03-24,Rawalpindi,Tea,Grocery,8,490,3920,Card
ORD0107,2026-03-24,Peshawar,Shampoo,Personal Care,2,650,1300,Cash
ORD0173,2026-03-24,Islamabad,Toothpaste,Personal Care,7,290,2030,Cash
ORD0221,2026-03-24,Rawalpindi,Orange Juice,Beverages,8,250,2000,Card
ORD0027,2026-03-25,Rawalpindi,Face Wash,Personal Care,2,530,1060,Cash
ORD0101,2026-03-25,Multan,Floor Cleaner,Household,8,420,3360,Online
ORD0131,2026-03-25,Peshawar,Orange Juice,Beverages,7,300,2100,Card
ORD0164,2026-03-26,Karachi,Basmati Rice,Grocery,5,480,2400,Card
ORD0212,2026-03-27,Rawalpindi,Tea,Grocery,1,520,520,Cash
ORD0233,2026-03-27,Islamabad,Toothpaste,Personal Care,1,320,320,Card
ORD0130,2026-03-28,Lahore,Cola,Beverages,3,180,540,Online
ORD0169,2026-03-28,Gujranwala,Tissue Box,Household,2,210,420,Card
ORD0171,2026-03-28,Multan,Floor Cleaner,Household,6,390,2340,Online
ORD0230,2026-03-28,Gujranwala,Mineral Water,Beverages,3,100,300,Cash
ORD0195,2026-03-29,Peshawar,Basmati Rice,Grocery,2,420,840,Card
ORD0237,2026-03-30,Karachi,Shampoo,Personal Care,7,650,4550,Online
ORD0004,2026-03-31,Gujranwala,Butter,Dairy,5,420,2100,Cash
ORD0076,2026-03-31,Peshawar,Flour,Grocery,4,200,800,Cash
ORD0084,2026-03-31,Lahore,Floor Cleaner,Household,8,390,3120,Card
ORD0115,2026-03-31,Karachi,Shampoo,Personal Care,1,650,650,Card
ORD0128,2026-03-31,Gujranwala,Green Tea,Beverages,8,320,2560,Online
ORD0176,2026-03-31,Gujranwala,Dishwashing Liquid,Household,7,320,2240,Cash
